Commit,Parents
61d0b7530c8978c095ab6f62d9d38e168bd829c6,"(['a3df5d0b2667faa992918faf4451566f8c87516e'], datetime.datetime(2011, 9, 11, 1, 41, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05482BD0>))"
f4b2b638075040c8363e613fe6a89712aebee429,"(['d10631f7287798141bd0978d40d8cbdfc6307742', '4d90df82a9e4fcbcebd298665092f7016a2bbb98'], datetime.datetime(2011, 9, 13, 22, 49, 27, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054913D0>))"
6af0c27930a6109ed4c68e498a54dca0dc3d451b,"(['f4b2b638075040c8363e613fe6a89712aebee429', 'd9ba4670ed0134816d5d063d48394e31b51c3b35'], datetime.datetime(2011, 9, 15, 23, 7, 48, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05490050>))"
78e3821b819b441d1faf4bc66c659cdeddc6006c,"(['341a15a23d16f4ee6cbbd6fe7ad36d4c07b4e240'], datetime.datetime(2011, 9, 16, 15, 2, 30, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05498250>))"
ff4437289530bb32acbda52a85ba891f10e1b285,"(['78e3821b819b441d1faf4bc66c659cdeddc6006c'], datetime.datetime(2011, 9, 16, 15, 5, 25, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05498950>))"
70a180d0f513981e1c92767955d9903f0bcb3699,"(['6af0c27930a6109ed4c68e498a54dca0dc3d451b', '0d994299826bb3bfd72415c29bc540cc03e42dd6'], datetime.datetime(2011, 9, 16, 21, 35, 45, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054980D0>))"
c382e386b513d19ab4bdbe171f0a94602ef06099,"(['70a180d0f513981e1c92767955d9903f0bcb3699', 'f0fedda8eff23d012c385675c728705e2c479363'], datetime.datetime(2011, 9, 20, 7, 40, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0549BAD0>))"
122113922fd398b1a76c1664b58a61661e936e30,"(['c382e386b513d19ab4bdbe171f0a94602ef06099', 'e9dd78d9fede044101627786d991bec3265205a4'], datetime.datetime(2011, 9, 29, 0, 9, 56, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0895D1D0>))"
9992cae54120d2742922745c1f513c6bfbde67a9,"(['122113922fd398b1a76c1664b58a61661e936e30'], datetime.datetime(2011, 9, 29, 0, 33, 34, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054BD6D0>))"
ab0402bc1def44e3d52eea517f4132c460bd5f87,"(['9992cae54120d2742922745c1f513c6bfbde67a9'], datetime.datetime(2011, 9, 29, 0, 42, 47, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054BD550>))"
93e0265af0b8538215b7e0776873d5e7938ed30f,"(['43b59b894beb9097b90b3a966835337d7ecaa7b0'], datetime.datetime(2011, 10, 3, 22, 5, 42, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054BFA10>))"
60dcc5f237b7e95b3b219f10b0a88eec32881e16,"(['ab0402bc1def44e3d52eea517f4132c460bd5f87', '14569ab482c2bb79cae31bf12a1e6c8d5f0d6064'], datetime.datetime(2011, 10, 6, 1, 16, 48, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054D0910>))"
90727b82e077e9ac80b77a37d3dc29d128da8c7b,"(['60dcc5f237b7e95b3b219f10b0a88eec32881e16'], datetime.datetime(2011, 10, 6, 16, 14, 50, tzinfo=<git.objects.util.tzoffset object at 0x0000018D04F393D0>))"
e4db38bdbe25752ebf7040f4ac99c91dc08ea71f,"(['a90f8fb50fc0f24d2e9481651b7c14c90ad7e861'], datetime.datetime(2011, 10, 6, 21, 58, 22, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054D19D0>))"
8b4f497af85b49519da2e05e8269db6c4e9d621f,"(['90727b82e077e9ac80b77a37d3dc29d128da8c7b'], datetime.datetime(2011, 10, 6, 23, 26, 14, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054D1490>))"
f00198b16c529bafeb8460427f12de69401941c3,"(['8b4f497af85b49519da2e05e8269db6c4e9d621f'], datetime.datetime(2011, 10, 11, 20, 44, 34, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054DF290>))"
7ca7832158333e4ddcd6914596ff7d781c9283fe,"(['f00198b16c529bafeb8460427f12de69401941c3'], datetime.datetime(2011, 10, 13, 0, 9, 55, tzinfo=<git.objects.util.tzoffset object at 0x0000018D054ECED0>))"
ab7e7dfd7e557ff17f177ae445c27133d81e8b1a,"(['7ca7832158333e4ddcd6914596ff7d781c9283fe'], datetime.datetime(2011, 10, 17, 20, 42, 32, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0321E5D0>))"
ebb6cc60c421286d9121ad907e6d68fa4ee3cf93,"(['ab7e7dfd7e557ff17f177ae445c27133d81e8b1a'], datetime.datetime(2011, 10, 27, 22, 10, 58, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055200D0>))"
180646dea33785f8b4cc71482d099595b8c7da9d,"(['ebb6cc60c421286d9121ad907e6d68fa4ee3cf93'], datetime.datetime(2011, 10, 27, 23, 15, 7, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05520250>))"
efb2d93f7739c98600378a9c13019fa9d0b0d6a7,"(['180646dea33785f8b4cc71482d099595b8c7da9d'], datetime.datetime(2011, 10, 27, 23, 26, 44, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05520D10>))"
b4992f671d36e35fd874958ffbc9e66abc29a725,"(['efb2d93f7739c98600378a9c13019fa9d0b0d6a7'], datetime.datetime(2011, 10, 28, 21, 24, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05520310>))"
3ab295994a4e7870a1f68d742d26c3ac44546fa5,"(['b4992f671d36e35fd874958ffbc9e66abc29a725'], datetime.datetime(2011, 11, 1, 1, 29, 59, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05530850>))"
571d7990f4f6a34324cb126987e6d5bcfa3b60fe,"(['3ab295994a4e7870a1f68d742d26c3ac44546fa5', 'bd21ddcb78350b311f271e233038b8ca78a65242'], datetime.datetime(2011, 11, 2, 5, 34, 31, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0553B790>))"
0d171f6513b9c0a71d1e8859d192986cab956970,"(['571d7990f4f6a34324cb126987e6d5bcfa3b60fe', '3491205b0a2d57d5eb2ab08f09fcb39145342af2'], datetime.datetime(2011, 11, 15, 2, 39, 13, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05552AD0>))"
61f77396faf1d4d38bc4d1ac3b704290fa84a93a,"(['0d171f6513b9c0a71d1e8859d192986cab956970', '9d7402e0af79bd31cf012f749e2df5e404fad7c8'], datetime.datetime(2011, 11, 16, 23, 46, 19, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05553790>))"
6c710f5f80f3360bbae03aa3fb808b40fbdd97d9,"(['61f77396faf1d4d38bc4d1ac3b704290fa84a93a'], datetime.datetime(2011, 11, 17, 18, 46, 25, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05552D50>))"
67c372991c8b8892bd36b6d1d58abf1d5da3598a,"(['6c710f5f80f3360bbae03aa3fb808b40fbdd97d9', '905a127850d5e0cba85c2e075f989fa0f5cf129a'], datetime.datetime(2011, 11, 18, 18, 29, 26, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05551250>))"
2ab10e29d9cca5018064be46a40e3c74423615a8,"(['a2e66776a98fc95dde63c353b24bbad875df733a'], datetime.datetime(2011, 11, 22, 2, 57, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05565690>))"
6a0671977b0d51f143df6171f3621532c04eef04,"(['67c372991c8b8892bd36b6d1d58abf1d5da3598a', '2ab10e29d9cca5018064be46a40e3c74423615a8'], datetime.datetime(2011, 11, 22, 3, 18, 47, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05565D50>))"
5f5b3bbdcd091fc6d14401eebc9c41204bad2325,"(['6a0671977b0d51f143df6171f3621532c04eef04'], datetime.datetime(2011, 11, 24, 0, 55, 37, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05566F90>))"
e9c2307838a84ac80f5a55e0c6d705ecf3c7d4c0,"(['cc4a468113831e502b26c571d04e31b475bca5c1'], datetime.datetime(2011, 11, 28, 6, 30, 49, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05574D90>))"
73b3de62043a13f45532623d42e07f52615d0806,"(['5f5b3bbdcd091fc6d14401eebc9c41204bad2325', 'e9c2307838a84ac80f5a55e0c6d705ecf3c7d4c0'], datetime.datetime(2011, 11, 28, 18, 21, 46, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05575450>))"
9146ad23f3f1af7c5547fba08e2a867cee49e015,"(['73b3de62043a13f45532623d42e07f52615d0806'], datetime.datetime(2011, 11, 29, 2, 27, 45, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055769D0>))"
ee97365f58fd341bf656fea00e4fcf723b04c00f,"(['9146ad23f3f1af7c5547fba08e2a867cee49e015', 'be9c46a4475f18ef33796ee63d73821c07c49fb5'], datetime.datetime(2011, 11, 29, 17, 55, 28, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05576F50>))"
bb91ebb53c1a41e47755b2008deee67c11b79d7e,"(['ee97365f58fd341bf656fea00e4fcf723b04c00f'], datetime.datetime(2011, 11, 30, 6, 49, 30, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055741D0>))"
0eec2218a16be6092e2d7ea49a97e7807e408499,"(['bb91ebb53c1a41e47755b2008deee67c11b79d7e', '94bf0dacbaa54ead5af98b6d62ae1713c579a16b'], datetime.datetime(2011, 11, 30, 18, 27, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05574190>))"
f87a4b40bc99e76602a75906df31747cfdbff78a,"(['0eec2218a16be6092e2d7ea49a97e7807e408499'], datetime.datetime(2011, 11, 30, 21, 46, 22, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557C6D0>))"
1e346aa829519f8a2aa830e76d9856f914861805,"(['f87a4b40bc99e76602a75906df31747cfdbff78a'], datetime.datetime(2011, 12, 1, 1, 10, 28, tzinfo=<git.objects.util.tzoffset object at 0x0000018D7FFB5050>))"
8dbb5237684bb9de78430b5cef27be40c78a8474,"(['1e346aa829519f8a2aa830e76d9856f914861805'], datetime.datetime(2011, 12, 1, 8, 3, 41, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05575150>))"
2033b526734f0f5b5dcccdbdd70a2921a112e14f,"(['8dbb5237684bb9de78430b5cef27be40c78a8474', '6a9624dcec1c539ff169732c490485f7b8458abf'], datetime.datetime(2011, 12, 1, 18, 15, 46, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557E150>))"
4cbead84846f4f65c843fd5101ecc0bd7595c9c5,"(['2033b526734f0f5b5dcccdbdd70a2921a112e14f'], datetime.datetime(2011, 12, 1, 20, 38, 46, tzinfo=<git.objects.util.tzoffset object at 0x0000018D023BDD50>))"
f4fa76719e622a4ef883c51ec0abc6e6e6ddf09e,"(['4cbead84846f4f65c843fd5101ecc0bd7595c9c5'], datetime.datetime(2011, 12, 1, 21, 26, 8, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557D690>))"
28dbd56de0456c3504ce2d2227a22027c5d46d52,"(['f4fa76719e622a4ef883c51ec0abc6e6e6ddf09e'], datetime.datetime(2011, 12, 1, 21, 37, 8, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557E410>))"
74b1f069ccaf0cf0536d1e5e8389ba54c81515c4,"(['28dbd56de0456c3504ce2d2227a22027c5d46d52'], datetime.datetime(2011, 12, 2, 0, 3, 17, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05576890>))"
b3f28dbb3d1ab6b2f686efdd7bdb064426177f21,"(['74b1f069ccaf0cf0536d1e5e8389ba54c81515c4'], datetime.datetime(2011, 12, 5, 6, 36, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557FB10>))"
c7f5167845ce52b060d4f1037ed2ddee5cfa3e4e,"(['b3f28dbb3d1ab6b2f686efdd7bdb064426177f21'], datetime.datetime(2011, 12, 5, 6, 37, 46, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557F8D0>))"
ad7fe4e21eb778f5a9700212751b6a0180402346,"(['c7f5167845ce52b060d4f1037ed2ddee5cfa3e4e'], datetime.datetime(2011, 12, 5, 6, 38, 52, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557ED10>))"
8a4db4d33165448b5af5f13bbe94eab8d6fe840f,"(['ad7fe4e21eb778f5a9700212751b6a0180402346', '0acc00bbab3be92374ff4975b16de5a5b86f903d'], datetime.datetime(2011, 12, 5, 18, 0, 44, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055773D0>))"
d18e5b38447273b95d975c703df25fe5f679e006,"(['6a358ee14026a801b59ac567e2eb795baa074d33'], datetime.datetime(2011, 12, 5, 20, 10, 27, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05577A90>))"
649144435718c7f446e9a056fc2988dc75fae14c,"(['8a4db4d33165448b5af5f13bbe94eab8d6fe840f'], datetime.datetime(2011, 12, 5, 21, 13, 7, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05577C10>))"
f39aac60e0b0c2cd4c82607c02501dde43afe02c,"(['649144435718c7f446e9a056fc2988dc75fae14c'], datetime.datetime(2011, 12, 5, 22, 10, 35, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05577350>))"
b981daa07f351769b33340d0e583a9f848d7dd5c,"(['8c0f2a0d59f3b5f59ea62a6d2d23bf105e4d911b'], datetime.datetime(2011, 12, 6, 2, 15, 56, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0557F550>))"
6016e95feec93f0e17a8a1370c0ede735ca13f55,"(['f39aac60e0b0c2cd4c82607c02501dde43afe02c'], datetime.datetime(2011, 12, 8, 2, 0, 20, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0558B5D0>))"
d9ea5bb48940c6ee2b6688a527ad74bccce6ed18,"(['6016e95feec93f0e17a8a1370c0ede735ca13f55', 'd9690b092294db5d6644af5f1a713788f792b55c'], datetime.datetime(2011, 12, 8, 2, 57, 47, tzinfo=<git.objects.util.tzoffset object at 0x0000018D0558BB50>))"
3334306512b5dc932814fded31a89ba1ee97cd9f,"(['8cd80b3cbc26633ce121b9dba6303633a91d48b5'], datetime.datetime(2011, 12, 8, 19, 25, 28, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05590490>))"
2481474bd9c50a23e4fd2eea67ac2dea11ca1f58,"(['d9ea5bb48940c6ee2b6688a527ad74bccce6ed18'], datetime.datetime(2011, 12, 8, 23, 55, 40, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05588D90>))"
89379bc1a386517794fe497a62cc99a939215b52,"(['2481474bd9c50a23e4fd2eea67ac2dea11ca1f58', '0f703982928eb10e000abd288e1839329ea3c275'], datetime.datetime(2011, 12, 12, 19, 41, 20, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05592DD0>))"
7c2a8c7ff26ce7065b01a15d7ef9ea5ff441a5df,"(['89379bc1a386517794fe497a62cc99a939215b52', '6571d39a74ec183046b8f8d6b3181dcd9b7f2e7f'], datetime.datetime(2011, 12, 12, 19, 42, 7, tzinfo=<git.objects.util.tzoffset object at 0x0000018D05593A90>))"
a0fe4f476ae907c9c070af48a250739a4fb33362,"(['7c2a8c7ff26ce7065b01a15d7ef9ea5ff441a5df', 'f2f4e9341387199e04679ebc8de5e05c0fdbd437'], datetime.datetime(2011, 12, 13, 19, 2, 37, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A1390>))"
1f2f4e105b90e88a5c3cb101810293f4fe228362,"(['b5229fd19bfecc2e5249db652ad34ec08152334b'], datetime.datetime(2011, 12, 13, 23, 27, 13, tzinfo=<git.objects.util.tzoffset object at 0x0000018D04BA2D50>))"
9818091a66b9c8e337de9d4e18655cf4b157056b,"(['a0fe4f476ae907c9c070af48a250739a4fb33362'], datetime.datetime(2011, 12, 14, 7, 24, 36, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A0790>))"
9cf3e0805f5967d1ed792c32728ab826fb7c927b,"(['9818091a66b9c8e337de9d4e18655cf4b157056b'], datetime.datetime(2011, 12, 14, 7, 51, 30, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A09D0>))"
d5a658e7a449ecdcdd13370859cc295eb987679f,"(['9cf3e0805f5967d1ed792c32728ab826fb7c927b'], datetime.datetime(2011, 12, 14, 8, 10, 34, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A0710>))"
60dd76c6abcba6db77ff439f57e07fda76867b64,"(['b9238e3badd0ae3dc7d76a552ffb1bca91b35542'], datetime.datetime(2011, 12, 14, 8, 20, 23, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A8A90>))"
7e8accd68ebfe67455e1b8d223691a6c0242c18b,"(['d5a658e7a449ecdcdd13370859cc295eb987679f'], datetime.datetime(2011, 12, 14, 8, 56, 21, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A8F10>))"
6c2da4bc0f8fc949fa2b9bebd4b4eeddfde544fc,"(['7e8accd68ebfe67455e1b8d223691a6c0242c18b'], datetime.datetime(2011, 12, 14, 21, 41, 31, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055AA390>))"
8134b1c8702d7d6b3994c73b34afc7f8ee33ac6e,"(['6c2da4bc0f8fc949fa2b9bebd4b4eeddfde544fc'], datetime.datetime(2011, 12, 14, 22, 47, 41, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055AA8D0>))"
ecdf9da770b2b0efc1ca5940366aaef6c58364ff,"(['8134b1c8702d7d6b3994c73b34afc7f8ee33ac6e'], datetime.datetime(2011, 12, 14, 23, 28, 43, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055AADD0>))"
b77c107ccb92060e6f14c13f2fdf1365f50cca75,"(['ecdf9da770b2b0efc1ca5940366aaef6c58364ff', '3758710bffd41c20932be779d395a6cc1d1bb177'], datetime.datetime(2011, 12, 14, 23, 34, 4, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A2B10>))"
afd0333196ebd273b7eaeedfaec00ec68a358ea8,"(['b77c107ccb92060e6f14c13f2fdf1365f50cca75'], datetime.datetime(2011, 12, 15, 0, 42, 50, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A3010>))"
d937abd434b78fc78e3c404a5b37316514879474,"(['afd0333196ebd273b7eaeedfaec00ec68a358ea8', '558185aecd12a8edaa2abd94e8d0a8b61b7e0fd7'], datetime.datetime(2011, 12, 15, 20, 5, 38, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A8290>))"
353bc3799d11a7fcdfcee96016535ccd6063cbc0,"(['d937abd434b78fc78e3c404a5b37316514879474'], datetime.datetime(2011, 12, 15, 21, 54, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A8490>))"
116bf57bd673b55f91d8dde7a83fc43e11522ebd,"(['353bc3799d11a7fcdfcee96016535ccd6063cbc0'], datetime.datetime(2011, 12, 16, 1, 54, 44, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055A8250>))"
71071b904d0c9aec7b3713d41740f24182e81c36,"(['116bf57bd673b55f91d8dde7a83fc43e11522ebd'], datetime.datetime(2011, 12, 16, 4, 18, 58, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055B8FD0>))"
cdb9f01ad4e6084ddf83e40eb3ec18a89fbbae42,"(['71071b904d0c9aec7b3713d41740f24182e81c36'], datetime.datetime(2011, 12, 16, 4, 25, 13, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055B9210>))"
371f4228e86f5ebffb3d8647fb30b8bdc2b777c4,"(['cdb9f01ad4e6084ddf83e40eb3ec18a89fbbae42'], datetime.datetime(2011, 12, 16, 18, 36, 24, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055B98D0>))"
08c9dc37807d0bf34114207d33b5b174b9a2bf02,"(['371f4228e86f5ebffb3d8647fb30b8bdc2b777c4', '52c149115512ff95cdf991a7308e18d5e127956b'], datetime.datetime(2011, 12, 17, 0, 31, 46, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055AA1D0>))"
45e81ae415141c306df9746353faec2f9f151ab1,"(['08c9dc37807d0bf34114207d33b5b174b9a2bf02'], datetime.datetime(2011, 12, 19, 5, 21, 24, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055BA950>))"
329717264f8380a1f0fd2cdabd1bf0517ff1067b,"(['45e81ae415141c306df9746353faec2f9f151ab1'], datetime.datetime(2011, 12, 19, 5, 24, 32, tzinfo=<git.objects.util.tzoffset object at 0x0000018D055BADD0>))"
